source,target,word_count,sentiment
Mrs. Bennet,Maria,13,0.0
Elizabeth,Mary,13,0.6705
Elizabeth,Mrs. Bennet,13,0.6705
Elizabeth,Lydia,13,0.6705
Elizabeth,Charlotte Lucas,13,0.6705
Elizabeth,A Young Lucas,13,0.6705
Elizabeth,Kitty,13,0.6705
Elizabeth,Jane,13,0.6705
Elizabeth,Maria,13,0.6705
Charlotte Lucas,Mary,55,0.924
Charlotte Lucas,Elizabeth,55,0.924
Charlotte Lucas,Lydia,55,0.924
Charlotte Lucas,Mrs. Bennet,55,0.924
Charlotte Lucas,A Young Lucas,55,0.924
Charlotte Lucas,Kitty,55,0.924
Charlotte Lucas,Jane,55,0.924
Charlotte Lucas,Maria,55,0.924
Elizabeth,Mary,17,0.8399
Elizabeth,Mrs. Bennet,17,0.8399
Elizabeth,Lydia,17,0.8399
Elizabeth,Charlotte Lucas,17,0.8399
Elizabeth,A Young Lucas,17,0.8399
Elizabeth,Kitty,17,0.8399
Elizabeth,Jane,17,0.8399
Elizabeth,Maria,17,0.8399
Mary,Elizabeth,98,0.6597
Mary,Lydia,98,0.6597
Mary,Mrs. Bennet,98,0.6597
Mary,Charlotte Lucas,98,0.6597
Mary,Kitty,98,0.6597
Mary,A Young Lucas,98,0.6597
Mary,Jane,98,0.6597
Mary,Maria,98,0.6597
A Young Lucas,Mary,31,-0.1486
A Young Lucas,Elizabeth,31,-0.1486
A Young Lucas,Lydia,31,-0.1486
A Young Lucas,Mrs. Bennet,31,-0.1486
A Young Lucas,Charlotte Lucas,31,-0.1486
A Young Lucas,Kitty,31,-0.1486
A Young Lucas,Jane,31,-0.1486
A Young Lucas,Maria,31,-0.1486
Mrs. Bennet,Mary,27,0.6249
Mrs. Bennet,Elizabeth,27,0.6249
Mrs. Bennet,A Young Lucas,27,0.6249
Mrs. Bennet,Lydia,27,0.6249
Mrs. Bennet,Charlotte Lucas,27,0.6249
Mrs. Bennet,Kitty,27,0.6249
Mrs. Bennet,Jane,27,0.6249
Mrs. Bennet,Maria,27,0.6249
Charlotte Lucas,Elizabeth,154,0.9714
Elizabeth,Charlotte Lucas,32,0.7096
Charlotte Lucas,Elizabeth,12,0.0
Elizabeth,Charlotte Lucas,21,0.0
Charlotte Lucas,Elizabeth,83,0.9109
Elizabeth,Charlotte Lucas,113,0.943
Charlotte Lucas,Elizabeth,41,0.8225
Elizabeth,Charlotte Lucas,34,0.8271
Charlotte Lucas,Elizabeth,115,0.9775
Elizabeth,Charlotte Lucas,26,0.3182
Elizabeth,Charlotte Lucas,13,0.0
Charlotte Lucas,Elizabeth,10,0.0
Elizabeth,Charlotte Lucas,43,0.545
Elizabeth,Mr. Darcy,27,0.2732
Elizabeth,Charlotte Lucas,27,0.2732
Mr. Darcy,Elizabeth,13,0.7906
Mr. Darcy,Charlotte Lucas,13,0.7906
Elizabeth,Mr. Darcy,5,-0.3818
Elizabeth,Charlotte Lucas,5,-0.3818
Charlotte Lucas,Mr. Darcy,22,0.0
Charlotte Lucas,Elizabeth,22,0.0
Elizabeth,Mr. Darcy,98,0.941
Elizabeth,Charlotte Lucas,98,0.941
Sir William Lucas,Mr. Darcy,28,0.6686
Mr. Darcy,Sir William Lucas,22,0.1027
Sir William Lucas,Mr. Darcy,19,0.6597
Mr. Darcy,Sir William Lucas,9,0.0
Sir William Lucas,Mr. Darcy,17,0.6369
Mr. Darcy,Sir William Lucas,2,0.0
Sir William Lucas,Mr. Darcy,13,0.4767
Mr. Darcy,Sir William Lucas,16,0.2951
Sir William Lucas,Mr. Darcy,8,0.0
Sir William Lucas,Mr. Darcy,33,0.5999
Sir William Lucas,Mr. Darcy,40,0.9146
Sir William Lucas,Elizabeth,40,0.9146
Elizabeth,Sir William Lucas,27,0.0
Elizabeth,Mr. Darcy,27,0.0
Sir William Lucas,Mr. Darcy,45,-0.0772
Sir William Lucas,Elizabeth,45,-0.0772
Elizabeth,Sir William Lucas,5,0.0
Elizabeth,Mr. Darcy,5,0.0
Sir William Lucas,Mr. Darcy,24,0.25
Sir William Lucas,Elizabeth,24,0.25
Miss Bingley,Mr. Darcy,8,0.0
Mr. Darcy,Miss Bingley,4,0.0
Miss Bingley,Mr. Darcy,55,0.5068
Mr. Darcy,Miss Bingley,38,0.9554
Mr. Darcy,Miss Bingley,3,-0.1531
Miss Bingley,Mr. Darcy,23,0.8339
Mr. Darcy,Miss Bingley,38,0.9559
Miss Bingley,Mr. Darcy,34,0.4869
Mr. Bennet,Elizabeth,33,0.5423
Mr. Bennet,Lydia,33,0.5423
Mr. Bennet,Mrs. Bennet,33,0.5423
Mr. Bennet,Kitty,33,0.5423
Mr. Bennet,Jane,33,0.5423
Mrs. Bennet,Elizabeth,35,0.8196
Mrs. Bennet,Lydia,35,0.8196
Mrs. Bennet,Kitty,35,0.8196
Mrs. Bennet,Jane,35,0.8196
Mrs. Bennet,Mr. Bennet,35,0.8196
Mr. Bennet,Elizabeth,14,0.4588
Mr. Bennet,Lydia,14,0.4588
Mr. Bennet,Mrs. Bennet,14,0.4588
Mr. Bennet,Kitty,14,0.4588
Mr. Bennet,Jane,14,0.4588
Mrs. Bennet,Elizabeth,11,0.5095
Mrs. Bennet,Lydia,11,0.5095
Mrs. Bennet,Kitty,11,0.5095
Mrs. Bennet,Jane,11,0.5095
Mrs. Bennet,Mr. Bennet,11,0.5095
Mr. Bennet,Elizabeth,41,-0.5569
Mr. Bennet,Lydia,41,-0.5569
Mr. Bennet,Mrs. Bennet,41,-0.5569
Mr. Bennet,Kitty,41,-0.5569
Mr. Bennet,Jane,41,-0.5569
Mrs. Bennet,Elizabeth,102,0.8126
Mrs. Bennet,Lydia,102,0.8126
Mrs. Bennet,Kitty,102,0.8126
Mrs. Bennet,Jane,102,0.8126
Mrs. Bennet,Mr. Bennet,102,0.8126
Lydia,Elizabeth,35,-0.2177
Lydia,Mrs. Bennet,35,-0.2177
Lydia,Kitty,35,-0.2177
Lydia,Jane,35,-0.2177
Lydia,Mr. Bennet,35,-0.2177
Mrs. Bennet,Elizabeth,25,0.8377
Mrs. Bennet,Lydia,25,0.8377
Mrs. Bennet,Kitty,25,0.8377
Mrs. Bennet,Jane,25,0.8377
Mrs. Bennet,Mr. Bennet,25,0.8377
Jane,Elizabeth,5,-0.1531
Jane,Lydia,5,-0.1531
Jane,Mrs. Bennet,5,-0.1531
Jane,Kitty,5,-0.1531
Jane,Mr. Bennet,5,-0.1531
Lydia,Elizabeth,13,0.0
Lydia,Mrs. Bennet,13,0.0
Lydia,Kitty,13,0.0
Lydia,Jane,13,0.0
Lydia,Mr. Bennet,13,0.0
Mrs. Bennet,Elizabeth,6,0.0
Mrs. Bennet,Lydia,6,0.0
Mrs. Bennet,Kitty,6,0.0
Mrs. Bennet,Jane,6,0.0
Mrs. Bennet,Mr. Bennet,6,0.0
Jane,Elizabeth,5,0.0
Jane,Lydia,5,0.0
Jane,Mrs. Bennet,5,0.0
Jane,Kitty,5,0.0
Jane,Mr. Bennet,5,0.0
Mrs. Bennet,Elizabeth,22,0.5106
Mrs. Bennet,Lydia,22,0.5106
Mrs. Bennet,Kitty,22,0.5106
Mrs. Bennet,Jane,22,0.5106
Mrs. Bennet,Mr. Bennet,22,0.5106
Elizabeth,Lydia,19,0.6369
Elizabeth,Mrs. Bennet,19,0.6369
Elizabeth,Kitty,19,0.6369
Elizabeth,Jane,19,0.6369
Elizabeth,Mr. Bennet,19,0.6369
Mrs. Bennet,Elizabeth,21,-0.4753
Mrs. Bennet,Lydia,21,-0.4753
Mrs. Bennet,Kitty,21,-0.4753
Mrs. Bennet,Jane,21,-0.4753
Mrs. Bennet,Mr. Bennet,21,-0.4753
Jane,Elizabeth,8,0.0
Jane,Lydia,8,0.0
Jane,Mrs. Bennet,8,0.0
Jane,Kitty,8,0.0
Jane,Mr. Bennet,8,0.0
Mrs. Bennet,Elizabeth,23,0.7469
Mrs. Bennet,Lydia,23,0.7469
Mrs. Bennet,Kitty,23,0.7469
Mrs. Bennet,Jane,23,0.7469
Mrs. Bennet,Mr. Bennet,23,0.7469
Mr. Bennet,Elizabeth,13,0.0
Mr. Bennet,Lydia,13,0.0
